src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size,vpn_label
35.212.104.44,192.168.31.160,443,59407,6,577.9256360530853,17,1254,73.76470588235294,18.494925891633745,Non-VPN
104.18.34.190,192.168.31.160,443,59419,6,310.65744805336,7,519,74.14285714285714,16.948902799958734,Non-VPN
174.137.133.49,192.168.31.160,443,59417,6,59.59043979644776,4,259,64.75,12.676257334087218,Non-VPN
192.168.31.160,192.168.31.1,50902,53,17,42.962806940078735,11,907,82.45454545454545,11.26025703213528,Non-VPN
192.168.31.1,192.168.31.160,53,50902,17,42.9144070148468,11,1390,126.36363636363636,37.18081794609279,Non-VPN
192.168.31.160,192.168.31.1,53474,53,17,2028.4444019794464,7,603,86.14285714285714,9.90567761334841,Non-VPN
192.168.31.1,192.168.31.160,53,53474,17,2028.4427189826963,7,941,134.42857142857142,29.47084342608637,Non-VPN
192.168.31.160,192.168.31.1,61252,53,17,0.0,1,69,69.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,57970,53,17,0.0,1,69,69.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,54037,53,17,0.0,1,74,74.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,52844,53,17,0.0,1,74,74.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,61252,17,0.0,1,117,117.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,54037,17,0.0,1,122,122.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,57970,17,0.0,1,85,85.0,0.0,Non-VPN
192.168.31.160,185.70.42.45,59477,443,6,10.68243408203125,14,3053,218.07142857142856,342.05251566007774,Non-VPN
192.168.31.1,192.168.31.160,53,52844,17,0.0,1,90,90.0,0.0,Non-VPN
192.168.31.160,185.70.42.63,59478,443,6,0.681037187576294,6,2124,354.0,476.0434153870142,Non-VPN
192.168.31.160,185.70.42.63,59479,443,6,10.996193170547484,19,3765,198.1578947368421,300.5747587465852,Non-VPN
185.70.42.45,192.168.31.160,443,59477,6,10.673829078674316,21,14760,702.8571428571429,569.0711132826802,Non-VPN
192.168.31.160,185.70.42.63,59480,443,6,1.1006910800933838,9,2326,258.44444444444446,404.08225540823054,Non-VPN
185.70.42.63,192.168.31.160,443,59479,6,10.978749990463257,22,11857,538.9545454545455,542.0691399437334,Non-VPN
185.70.42.63,192.168.31.160,443,59478,6,0.5450360774993896,6,4035,672.5,614.5528862514601,Non-VPN
185.70.42.63,192.168.31.160,443,59480,6,93.61421799659728,16,5285,330.3125,467.0814595375736,Non-VPN
192.168.31.160,192.168.31.1,55040,53,17,5.196687936782837,2,137,68.5,0.5,Non-VPN
192.168.31.1,192.168.31.160,53,55040,17,5.182440042495728,2,137,68.5,0.5,Non-VPN
192.168.31.160,185.70.42.45,59481,443,6,1.2037031650543213,10,1000,100.0,68.26565754462489,Non-VPN
185.70.42.45,192.168.31.160,443,59481,6,0.8153798580169678,7,6373,910.4285714285714,475.5026985481056,Non-VPN
192.168.31.160,192.168.31.1,65442,53,17,0.0,1,77,77.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,53423,53,17,0.0,1,77,77.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,65442,17,0.0,1,125,125.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,53423,17,0.0,1,93,93.0,0.0,Non-VPN
