src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size
34.22.92.149,192.168.31.160,443,51182,6,45.19230008125305,2,132,66.0,0.0
35.212.43.231,192.168.31.160,443,59364,6,661.1540958881378,12,672,56.0,4.47213595499958
192.168.31.160,99.86.30.82,59240,443,6,45.16414213180542,2,110,55.0,0.0
99.86.30.82,192.168.31.160,443,59240,6,108.67159986495972,9,705,78.33333333333333,16.87865186822955
192.168.31.160,34.142.217.223,59264,443,6,45.127713203430176,2,110,55.0,0.0
34.142.217.223,192.168.31.160,443,59264,6,172.0952639579773,12,1319,109.91666666666667,26.31367937446647
192.168.31.160,35.212.104.44,59407,443,6,45.348543882369995,2,110,55.0,0.0
192.168.31.160,174.137.133.49,59417,443,6,59.59460210800171,4,217,54.25,0.4330127018922193
192.168.31.160,104.18.34.190,59419,443,6,45.054863929748535,2,110,55.0,0.0
35.212.104.44,192.168.31.160,443,59407,6,577.9256360530853,17,1254,73.76470588235294,18.494925891633745
104.18.34.190,192.168.31.160,443,59419,6,310.65744805336,7,519,74.14285714285714,16.948902799958734
174.137.133.49,192.168.31.160,443,59417,6,59.590439796447754,4,259,64.75,12.676257334087218
192.168.31.160,192.168.31.1,50902,53,17,42.962806940078735,11,907,82.45454545454545,11.26025703213528
192.168.31.1,192.168.31.160,53,50902,17,42.9144070148468,11,1390,126.36363636363636,37.18081794609279
192.168.31.160,192.168.31.1,53474,53,17,2028.4444019794464,7,603,86.14285714285714,9.90567761334841
192.168.31.1,192.168.31.160,53,53474,17,2028.4427189826965,7,941,134.42857142857142,29.47084342608637
192.168.31.160,192.168.31.1,61252,53,17,0.0,1,69,69.0,0.0
192.168.31.160,192.168.31.1,57970,53,17,0.0,1,69,69.0,0.0
192.168.31.160,192.168.31.1,54037,53,17,0.0,1,74,74.0,0.0
192.168.31.160,192.168.31.1,52844,53,17,0.0,1,74,74.0,0.0
192.168.31.1,192.168.31.160,53,61252,17,0.0,1,117,117.0,0.0
192.168.31.1,192.168.31.160,53,54037,17,0.0,1,122,122.0,0.0
192.168.31.1,192.168.31.160,53,57970,17,0.0,1,85,85.0,0.0
192.168.31.160,185.70.42.45,59477,443,6,10.68243408203125,14,3053,218.07142857142858,342.05251566007774
192.168.31.1,192.168.31.160,53,52844,17,0.0,1,90,90.0,0.0
192.168.31.160,185.70.42.63,59478,443,6,0.681037187576294,6,2124,354.0,476.0434153870142
192.168.31.160,185.70.42.63,59479,443,6,10.996193170547485,19,3765,198.1578947368421,300.5747587465852
185.70.42.45,192.168.31.160,443,59477,6,10.673829078674316,21,14760,702.8571428571429,569.0711132826802
192.168.31.160,185.70.42.63,59480,443,6,1.1006910800933838,9,2326,258.44444444444446,404.08225540823054
185.70.42.63,192.168.31.160,443,59479,6,10.978749990463257,22,11857,538.9545454545455,542.0691399437334
185.70.42.63,192.168.31.160,443,59478,6,0.5450360774993896,6,4035,672.5,614.5528862514601
185.70.42.63,192.168.31.160,443,59480,6,93.61421799659729,16,5285,330.3125,467.0814595375736
192.168.31.160,192.168.31.1,55040,53,17,5.196687936782837,2,137,68.5,0.5
192.168.31.1,192.168.31.160,53,55040,17,5.1824400424957275,2,137,68.5,0.5
192.168.31.160,185.70.42.45,59481,443,6,1.2037031650543213,10,1000,100.0,68.26565754462489
185.70.42.45,192.168.31.160,443,59481,6,0.8153798580169678,7,6373,910.4285714285714,475.5026985481056
192.168.31.160,192.168.31.1,65442,53,17,0.0,1,77,77.0,0.0
192.168.31.160,192.168.31.1,53423,53,17,0.0,1,77,77.0,0.0
192.168.31.1,192.168.31.160,53,65442,17,0.0,1,125,125.0,0.0
192.168.31.1,192.168.31.160,53,53423,17,0.0,1,93,93.0,0.0
192.168.31.160,185.70.42.36,59482,443,6,14.997320890426636,773,54367,70.33247089262613,103.58471141305552
192.168.31.160,185.70.42.36,59483,443,6,0.705456018447876,8,2327,290.875,427.2608797620021
185.70.42.36,192.168.31.160,443,59482,6,254.46415781974792,2089,2649979,1268.539492580182,166.15345412248294
185.70.42.36,192.168.31.160,443,59483,6,222.9305500984192,16,5285,330.3125,467.0814595375736
192.168.31.160,192.168.31.1,53826,53,17,0.0,1,81,81.0,0.0
192.168.31.160,192.168.31.1,64290,53,17,0.0,1,81,81.0,0.0
192.168.31.1,192.168.31.160,53,64290,17,0.0,1,97,97.0,0.0
192.168.31.160,192.168.31.1,57724,53,17,0.0,1,81,81.0,0.0
192.168.31.1,192.168.31.160,53,53826,17,0.0,1,129,129.0,0.0
192.168.31.1,192.168.31.160,53,57724,17,0.0,1,129,129.0,0.0
192.168.31.160,185.70.42.20,59484,443,6,0.8579890727996826,6,2099,349.8333333333333,474.32844340416926
192.168.31.160,185.70.42.20,59485,443,6,2.0190978050231934,46,5069,110.19565217391305,210.13749324680958
192.168.31.160,185.70.42.20,59486,443,6,1.2571449279785156,9,2429,269.8888888888889,412.02870570020684
185.70.42.20,192.168.31.160,443,59485,6,231.69829201698303,92,100035,1087.3369565217392,444.1803217156664
185.70.42.20,192.168.31.160,443,59484,6,0.7496390342712402,6,4035,672.5,614.5528862514601
185.70.42.20,192.168.31.160,443,59486,6,218.74516201019287,16,5305,331.5625,467.5058781381791
192.168.31.141,239.255.255.250,53122,1900,17,0.0,1,327,327.0,0.0
192.168.31.141,239.255.255.250,37207,1900,17,0.0,1,336,336.0,0.0
192.168.31.141,239.255.255.250,40582,1900,17,0.0,1,383,383.0,0.0
192.168.31.141,239.255.255.250,47870,1900,17,0.0,1,391,391.0,0.0
192.168.31.141,239.255.255.250,43362,1900,17,0.0,1,393,393.0,0.0
192.168.31.141,239.255.255.250,53519,1900,17,0.0,1,381,381.0,0.0
192.168.31.141,239.255.255.250,36046,1900,17,0.0,1,327,327.0,0.0
192.168.31.141,239.255.255.250,35989,1900,17,0.0,1,336,336.0,0.0
192.168.31.141,239.255.255.250,36300,1900,17,0.0,1,383,383.0,0.0
192.168.31.141,239.255.255.250,50878,1900,17,0.0,1,391,391.0,0.0
192.168.31.141,239.255.255.250,46546,1900,17,0.0,1,393,393.0,0.0
192.168.31.141,239.255.255.250,53443,1900,17,0.0,1,381,381.0,0.0
192.168.31.141,239.255.255.250,59341,1900,17,0.0,1,327,327.0,0.0
192.168.31.141,239.255.255.250,45349,1900,17,0.0,1,336,336.0,0.0
192.168.31.141,239.255.255.250,52991,1900,17,0.0,1,383,383.0,0.0
